sep=;
time;model_id;model_name;port_name;data
0;1;depositing;;code:7 phase:0 value:7 is_event:0
0;2;withdrawaldone;;code:6 phase:0 value:6 is_event:0
0;3;depositdone;;code:9 phase:0 value:9 is_event:0
0;4;confirming;;code:5 phase:0 value:5 is_event:0
0;5;input;;0.01
0;6;inputingamount;;code:4 phase:0 value:4 is_event:0
0;7;insertingmoney;;code:8 phase:0 value:8 is_event:0
0;8;withdrawing;;code:3 phase:0 value:3 is_event:0
0;9;selectingtransactions;;code:2 phase:0 value:2 is_event:0
0;10;checkingpin;;code:1 phase:0 value:1 is_event:0
0;11;idle;;code:0 phase:1 value:0 is_event:0
0.01;1;depositing;;code:7 phase:0 value:7 is_event:0
0.01;2;withdrawaldone;;code:6 phase:0 value:6 is_event:0
0.01;3;depositdone;;code:9 phase:0 value:9 is_event:0
0.01;4;confirming;;code:5 phase:0 value:5 is_event:0
0.01;5;input;out;0
0.01;5;input;;0.01
0.01;6;inputingamount;;code:4 phase:0 value:4 is_event:0
0.01;7;insertingmoney;;code:8 phase:0 value:8 is_event:0
0.01;8;withdrawing;;code:3 phase:0 value:3 is_event:0
0.01;9;selectingtransactions;;code:2 phase:0 value:2 is_event:0
0.01;10;checkingpin;;code:1 phase:0 value:1 is_event:0
0.01;11;idle;;code:0 phase:1 value:0 is_event:1
0.01;10;checkingpin;;code:1 phase:1 value:1 is_event:0
0.01;11;idle;transition_out;1
0.01;11;idle;;code:0 phase:0 value:0 is_event:1
0.01;10;checkingpin;state_out;1
0.01;10;checkingpin;;code:1 phase:1 value:1 is_event:0
0.02;1;depositing;;code:7 phase:0 value:7 is_event:0
0.02;2;withdrawaldone;;code:6 phase:0 value:6 is_event:0
0.02;3;depositdone;;code:9 phase:0 value:9 is_event:0
0.02;4;confirming;;code:5 phase:0 value:5 is_event:0
0.02;5;input;out;0
0.02;5;input;;0.01
0.02;6;inputingamount;;code:4 phase:0 value:4 is_event:0
0.02;7;insertingmoney;;code:8 phase:0 value:8 is_event:0
0.02;8;withdrawing;;code:3 phase:0 value:3 is_event:0
0.02;9;selectingtransactions;;code:2 phase:0 value:2 is_event:0
0.02;10;checkingpin;;code:1 phase:1 value:1 is_event:1
0.02;11;idle;;code:0 phase:0 value:0 is_event:1
0.02;10;checkingpin;error_out;-999
0.02;10;checkingpin;;code:1 phase:1 value:1 is_event:1
0.03;1;depositing;;code:7 phase:0 value:7 is_event:0
0.03;2;withdrawaldone;;code:6 phase:0 value:6 is_event:0
0.03;3;depositdone;;code:9 phase:0 value:9 is_event:0
0.03;4;confirming;;code:5 phase:0 value:5 is_event:0
0.03;5;input;out;2
0.03;5;input;;0.01
0.03;6;inputingamount;;code:4 phase:0 value:4 is_event:0
0.03;7;insertingmoney;;code:8 phase:0 value:8 is_event:0
0.03;8;withdrawing;;code:3 phase:0 value:3 is_event:0
0.03;9;selectingtransactions;;code:2 phase:0 value:2 is_event:0
0.03;10;checkingpin;;code:1 phase:1 value:1 is_event:1
0.03;11;idle;;code:0 phase:0 value:0 is_event:1
0.03;9;selectingtransactions;;code:2 phase:1 value:2 is_event:0
0.03;10;checkingpin;transition_out;2
0.03;10;checkingpin;;code:1 phase:0 value:1 is_event:1
0.03;11;idle;;code:0 phase:0 value:0 is_event:1
0.03;9;selectingtransactions;state_out;2
0.03;9;selectingtransactions;;code:2 phase:1 value:2 is_event:0
0.04;1;depositing;;code:7 phase:0 value:7 is_event:0
0.04;2;withdrawaldone;;code:6 phase:0 value:6 is_event:0
0.04;3;depositdone;;code:9 phase:0 value:9 is_event:0
0.04;4;confirming;;code:5 phase:0 value:5 is_event:0
0.04;5;input;out;3
0.04;5;input;;0.01
0.04;6;inputingamount;;code:4 phase:0 value:4 is_event:0
0.04;7;insertingmoney;;code:8 phase:0 value:8 is_event:0
0.04;8;withdrawing;;code:3 phase:0 value:3 is_event:0
0.04;9;selectingtransactions;;code:2 phase:1 value:2 is_event:1
0.04;10;checkingpin;;code:1 phase:0 value:1 is_event:1
0.04;11;idle;;code:0 phase:0 value:0 is_event:1
0.04;1;depositing;;code:7 phase:0 value:7 is_event:0
0.04;8;withdrawing;;code:3 phase:1 value:3 is_event:0
0.04;9;selectingtransactions;transition_out;3
0.04;9;selectingtransactions;;code:2 phase:0 value:2 is_event:1
0.04;8;withdrawing;state_out;3
0.04;8;withdrawing;;code:3 phase:1 value:3 is_event:0
0.05;1;depositing;;code:7 phase:0 value:7 is_event:0
0.05;2;withdrawaldone;;code:6 phase:0 value:6 is_event:0
0.05;3;depositdone;;code:9 phase:0 value:9 is_event:0
0.05;4;confirming;;code:5 phase:0 value:5 is_event:0
0.05;5;input;out;4
0.05;5;input;;0.01
0.05;6;inputingamount;;code:4 phase:0 value:4 is_event:0
0.05;7;insertingmoney;;code:8 phase:0 value:8 is_event:0
0.05;8;withdrawing;;code:3 phase:1 value:3 is_event:1
0.05;9;selectingtransactions;;code:2 phase:0 value:2 is_event:1
0.05;10;checkingpin;;code:1 phase:0 value:1 is_event:1
0.05;11;idle;;code:0 phase:0 value:0 is_event:1
0.05;6;inputingamount;;code:4 phase:1 value:4 is_event:0
0.05;8;withdrawing;transition_out;4
0.05;8;withdrawing;;code:3 phase:0 value:3 is_event:1
