sep=;
time;model_id;model_name;port_name;data
0;1;input;;0.01
0;2;stable_high;;state_no:2 init:0 tran:0 ax:0
0;3;debouncing;;state_no:1 init:0 tran:0 ax:0
0;4;idle;;state_no:0 init:1 tran:0 ax:0
0.01;1;input;out;1
0.01;1;input;;0.01
0.01;2;stable_high;;state_no:2 init:0 tran:0 ax:0
0.01;3;debouncing;;state_no:1 init:0 tran:0 ax:0
0.01;4;idle;;state_no:0 init:1 tran:0 ax:0
0.011;3;debouncing;;state_no:1 init:0 tran:1 ax:0
0.011;4;idle;out;1
0.011;4;idle;;state_no:0 init:0 tran:1 ax:0
0.02;1;input;out;1
0.02;1;input;;0.01
0.02;2;stable_high;;state_no:2 init:0 tran:0 ax:0
0.02;3;debouncing;;state_no:1 init:0 tran:0 ax:1
0.02;4;idle;;state_no:0 init:0 tran:1 ax:0
0.021;2;stable_high;;state_no:2 init:0 tran:1 ax:0
0.021;3;debouncing;out;1
0.021;3;debouncing;;state_no:1 init:0 tran:0 ax:0
0.021;4;idle;;state_no:0 init:0 tran:1 ax:0
0.03;1;input;out;1
0.03;1;input;;0.01
0.03;2;stable_high;;state_no:2 init:0 tran:0 ax:1
0.03;3;debouncing;;state_no:1 init:0 tran:0 ax:0
0.03;4;idle;;state_no:0 init:0 tran:1 ax:0
0.031;2;stable_high;out;1
0.031;2;stable_high;acting;1
0.031;2;stable_high;;state_no:2 init:0 tran:1 ax:0
0.031;4;idle;;state_no:0 init:0 tran:1 ax:0
0.04;1;input;out;1
0.04;1;input;;0.01
0.04;2;stable_high;;state_no:2 init:0 tran:0 ax:1
0.04;3;debouncing;;state_no:1 init:0 tran:0 ax:0
0.04;4;idle;;state_no:0 init:0 tran:1 ax:0
0.041;2;stable_high;out;1
0.041;2;stable_high;;state_no:2 init:0 tran:1 ax:0
0.041;4;idle;;state_no:0 init:0 tran:1 ax:0
0.05;1;input;out;0
0.05;1;input;;0.01
0.05;2;stable_high;;state_no:2 init:0 tran:1 ax:0
0.05;3;debouncing;;state_no:1 init:0 tran:0 ax:0
0.05;4;idle;;state_no:0 init:0 tran:0 ax:1
0.051;3;debouncing;;state_no:1 init:0 tran:1 ax:0
0.051;4;idle;out;0
0.051;4;idle;acting;1
0.051;4;idle;;state_no:0 init:0 tran:1 ax:0
0.06;1;input;out;1
0.06;1;input;;0.01
0.06;2;stable_high;;state_no:2 init:0 tran:1 ax:0
0.06;3;debouncing;;state_no:1 init:0 tran:0 ax:1
0.06;4;idle;;state_no:0 init:0 tran:1 ax:0
0.061;2;stable_high;;state_no:2 init:0 tran:1 ax:0
0.061;3;debouncing;out;1
0.061;3;debouncing;;state_no:1 init:0 tran:0 ax:0
0.061;4;idle;;state_no:0 init:0 tran:1 ax:0
0.07;1;input;out;0
0.07;1;input;;0.01
0.07;2;stable_high;;state_no:2 init:0 tran:1 ax:0
0.07;3;debouncing;;state_no:1 init:0 tran:0 ax:0
0.07;4;idle;;state_no:0 init:0 tran:0 ax:1
0.071;3;debouncing;;state_no:1 init:0 tran:1 ax:0
0.071;4;idle;out;0
0.071;4;idle;acting;1
0.071;4;idle;;state_no:0 init:0 tran:1 ax:0
0.08;1;input;out;1
0.08;1;input;;0.01
0.08;2;stable_high;;state_no:2 init:0 tran:1 ax:0
0.08;3;debouncing;;state_no:1 init:0 tran:0 ax:1
0.08;4;idle;;state_no:0 init:0 tran:1 ax:0
0.081;2;stable_high;;state_no:2 init:0 tran:1 ax:0
0.081;3;debouncing;out;1
0.081;3;debouncing;;state_no:1 init:0 tran:0 ax:0
0.081;4;idle;;state_no:0 init:0 tran:1 ax:0
0.09;1;input;out;1
0.09;1;input;;inf
0.09;2;stable_high;;state_no:2 init:0 tran:0 ax:1
0.09;3;debouncing;;state_no:1 init:0 tran:0 ax:0
0.09;4;idle;;state_no:0 init:0 tran:1 ax:0
0.091;2;stable_high;out;1
0.091;2;stable_high;acting;1
0.091;2;stable_high;;state_no:2 init:0 tran:1 ax:0
0.091;4;idle;;state_no:0 init:0 tran:1 ax:0
0.091;1;input;;inf
0.091;2;stable_high;;state_no:2 init:0 tran:1 ax:0
0.091;3;debouncing;;state_no:1 init:0 tran:0 ax:0
0.091;4;idle;;state_no:0 init:0 tran:1 ax:0
