sep=;
time;model_id;model_name;port_name;data
0;1;input;;0.01
0;2;paused;;code:2 phase:0 value:2 is_event:0
0;3;ended;;code:3 phase:0 value:3 is_event:0
0;4;playing;;code:1 phase:0 value:1 is_event:0
0;5;menu;;code:0 phase:1 value:0 is_event:0
0.01;1;input;out;0
0.01;1;input;;0.01
0.01;2;paused;;code:2 phase:0 value:2 is_event:0
0.01;3;ended;;code:3 phase:0 value:3 is_event:0
0.01;4;playing;;code:1 phase:0 value:1 is_event:0
0.01;5;menu;;code:0 phase:1 value:0 is_event:1
0.01;4;playing;;code:1 phase:1 value:1 is_event:0
0.01;5;menu;transition_out;1
0.01;5;menu;;code:0 phase:0 value:0 is_event:1
0.01;4;playing;state_out;1
0.01;4;playing;;code:1 phase:1 value:1 is_event:0
0.02;1;input;out;1
0.02;1;input;;0.01
0.02;2;paused;;code:2 phase:0 value:2 is_event:0
0.02;3;ended;;code:3 phase:0 value:3 is_event:0
0.02;4;playing;;code:1 phase:1 value:1 is_event:1
0.02;5;menu;;code:0 phase:0 value:0 is_event:1
0.02;2;paused;;code:2 phase:1 value:2 is_event:0
0.02;3;ended;;code:3 phase:0 value:3 is_event:0
0.02;4;playing;transition_out;2
0.02;4;playing;;code:1 phase:0 value:1 is_event:1
0.02;2;paused;state_out;2
0.02;2;paused;;code:2 phase:1 value:2 is_event:0
0.03;1;input;out;3
0.03;1;input;;0.01
0.03;2;paused;;code:2 phase:1 value:2 is_event:1
0.03;3;ended;;code:3 phase:0 value:3 is_event:0
0.03;4;playing;;code:1 phase:0 value:1 is_event:1
0.03;5;menu;;code:0 phase:0 value:0 is_event:1
0.03;2;paused;transition_out;1
0.03;2;paused;;code:2 phase:0 value:2 is_event:1
0.03;4;playing;;code:1 phase:1 value:1 is_event:0
0.03;5;menu;;code:0 phase:0 value:0 is_event:1
0.03;4;playing;state_out;1
0.03;4;playing;;code:1 phase:1 value:1 is_event:0
0.04;1;input;out;2
0.04;1;input;;0.01
0.04;2;paused;;code:2 phase:0 value:2 is_event:1
0.04;3;ended;;code:3 phase:0 value:3 is_event:0
0.04;4;playing;;code:1 phase:1 value:1 is_event:1
0.04;5;menu;;code:0 phase:0 value:0 is_event:1
0.04;2;paused;;code:2 phase:0 value:2 is_event:1
0.04;3;ended;;code:3 phase:1 value:3 is_event:0
0.04;4;playing;transition_out;3
0.04;4;playing;;code:1 phase:0 value:1 is_event:1
0.04;3;ended;state_out;3
0.04;3;ended;;code:3 phase:1 value:3 is_event:0
0.05;1;input;out;5
0.05;1;input;;0.01
0.05;2;paused;;code:2 phase:0 value:2 is_event:1
0.05;3;ended;;code:3 phase:1 value:3 is_event:1
0.05;4;playing;;code:1 phase:0 value:1 is_event:1
0.05;5;menu;;code:0 phase:0 value:0 is_event:1
0.05;3;ended;transition_out;0
0.05;3;ended;;code:3 phase:0 value:3 is_event:1
0.05;5;menu;;code:0 phase:1 value:0 is_event:0
0.05;5;menu;state_out;0
0.05;5;menu;;code:0 phase:1 value:0 is_event:0
0.06;1;input;out;0
0.06;1;input;;0.01
0.06;2;paused;;code:2 phase:0 value:2 is_event:1
0.06;3;ended;;code:3 phase:0 value:3 is_event:1
0.06;4;playing;;code:1 phase:0 value:1 is_event:1
0.06;5;menu;;code:0 phase:1 value:0 is_event:1
0.06;4;playing;;code:1 phase:1 value:1 is_event:0
0.06;5;menu;transition_out;1
0.06;5;menu;;code:0 phase:0 value:0 is_event:1
0.06;4;playing;state_out;1
0.06;4;playing;;code:1 phase:1 value:1 is_event:0
