sep=;
time;model_id;model_name;port_name;data
0;1;input;;0.01
0;2;odd;;state_no:1 init:0 tran:0 ax:0
0;3;even;;state_no:0 init:1 tran:0 ax:0
0.01;1;input;out;0
0.01;1;input;;0.01
0.01;2;odd;;state_no:1 init:0 tran:0 ax:0
0.01;3;even;;state_no:0 init:1 tran:0 ax:0
0.011;2;odd;;state_no:1 init:0 tran:1 ax:0
0.011;3;even;out;0
0.011;3;even;;state_no:0 init:0 tran:1 ax:0
0.02;1;input;out;0
0.02;1;input;;0.01
0.02;2;odd;;state_no:1 init:0 tran:1 ax:0
0.02;3;even;;state_no:0 init:0 tran:0 ax:1
0.021;2;odd;;state_no:1 init:0 tran:1 ax:0
0.021;3;even;out;0
0.021;3;even;;state_no:0 init:0 tran:1 ax:0
0.03;1;input;out;1
0.03;1;input;;0.01
0.03;2;odd;;state_no:1 init:0 tran:0 ax:1
0.03;3;even;;state_no:0 init:0 tran:1 ax:0
0.031;2;odd;out;1
0.031;2;odd;;state_no:1 init:0 tran:1 ax:0
0.031;3;even;;state_no:0 init:0 tran:1 ax:0
0.04;1;input;out;1
0.04;1;input;;0.01
0.04;2;odd;;state_no:1 init:0 tran:1 ax:0
0.04;3;even;;state_no:0 init:0 tran:0 ax:1
0.041;2;odd;;state_no:1 init:0 tran:1 ax:0
0.041;3;even;out;1
0.041;3;even;;state_no:0 init:0 tran:1 ax:0
0.05;1;input;out;0
0.05;1;input;;0.01
0.05;2;odd;;state_no:1 init:0 tran:1 ax:0
0.05;3;even;;state_no:0 init:0 tran:0 ax:1
0.051;2;odd;;state_no:1 init:0 tran:1 ax:0
0.051;3;even;out;0
0.051;3;even;;state_no:0 init:0 tran:1 ax:0
0.06;1;input;out;1
0.06;1;input;;0.01
0.06;2;odd;;state_no:1 init:0 tran:0 ax:1
0.06;3;even;;state_no:0 init:0 tran:1 ax:0
0.061;2;odd;out;1
0.061;2;odd;;state_no:1 init:0 tran:1 ax:0
0.061;3;even;;state_no:0 init:0 tran:1 ax:0
0.07;1;input;out;0
0.07;1;input;;0.01
0.07;2;odd;;state_no:1 init:0 tran:0 ax:1
0.07;3;even;;state_no:0 init:0 tran:1 ax:0
0.071;2;odd;out;0
0.071;2;odd;;state_no:1 init:0 tran:1 ax:0
0.071;3;even;;state_no:0 init:0 tran:1 ax:0
0.08;1;input;out;1
0.08;1;input;;0.01
0.08;2;odd;;state_no:1 init:0 tran:1 ax:0
0.08;3;even;;state_no:0 init:0 tran:0 ax:1
0.081;2;odd;;state_no:1 init:0 tran:1 ax:0
0.081;3;even;out;1
0.081;3;even;;state_no:0 init:0 tran:1 ax:0
0.09;1;input;out;1
0.09;1;input;;0.01
0.09;2;odd;;state_no:1 init:0 tran:0 ax:1
0.09;3;even;;state_no:0 init:0 tran:1 ax:0
0.091;2;odd;out;1
0.091;2;odd;;state_no:1 init:0 tran:1 ax:0
0.091;3;even;;state_no:0 init:0 tran:1 ax:0
0.1;1;input;out;0
0.1;1;input;;0.01
0.1;2;odd;;state_no:1 init:0 tran:0 ax:1
0.1;3;even;;state_no:0 init:0 tran:1 ax:0
0.101;2;odd;out;0
0.101;2;odd;;state_no:1 init:0 tran:1 ax:0
0.101;3;even;;state_no:0 init:0 tran:1 ax:0
0.11;1;input;out;1
0.11;1;input;;0.01
0.11;2;odd;;state_no:1 init:0 tran:1 ax:0
0.11;3;even;;state_no:0 init:0 tran:0 ax:1
0.111;2;odd;;state_no:1 init:0 tran:1 ax:0
0.111;3;even;out;1
0.111;3;even;;state_no:0 init:0 tran:1 ax:0
0.12;1;input;out;1
0.12;1;input;;0.01
0.12;2;odd;;state_no:1 init:0 tran:0 ax:1
0.12;3;even;;state_no:0 init:0 tran:1 ax:0
0.121;2;odd;out;1
0.121;2;odd;;state_no:1 init:0 tran:1 ax:0
0.121;3;even;;state_no:0 init:0 tran:1 ax:0
0.13;1;input;out;0
0.13;1;input;;0.01
0.13;2;odd;;state_no:1 init:0 tran:0 ax:1
0.13;3;even;;state_no:0 init:0 tran:1 ax:0
0.131;2;odd;out;0
0.131;2;odd;;state_no:1 init:0 tran:1 ax:0
0.131;3;even;;state_no:0 init:0 tran:1 ax:0
0.14;1;input;out;0
0.14;1;input;;0.01
0.14;2;odd;;state_no:1 init:0 tran:0 ax:1
0.14;3;even;;state_no:0 init:0 tran:1 ax:0
0.141;2;odd;out;0
0.141;2;odd;;state_no:1 init:0 tran:1 ax:0
0.141;3;even;;state_no:0 init:0 tran:1 ax:0
0.15;1;input;out;1
0.15;1;input;;inf
0.15;2;odd;;state_no:1 init:0 tran:1 ax:0
0.15;3;even;;state_no:0 init:0 tran:0 ax:1
0.151;2;odd;;state_no:1 init:0 tran:1 ax:0
0.151;3;even;out;1
0.151;3;even;;state_no:0 init:0 tran:1 ax:0
0.151;1;input;;inf
0.151;2;odd;;state_no:1 init:0 tran:1 ax:0
0.151;3;even;;state_no:0 init:0 tran:1 ax:0
