sep=;
time;model_id;model_name;port_name;data
0;1;input;;0.01
0;2;speech;;code:4 phase:0 value:4 is_event:0
0;3;ringingbside;;code:3 phase:0 value:3 is_event:0
0;4;waitonhook;;code:5 phase:0 value:5 is_event:0
0;5;ringingaside;;code:2 phase:0 value:2 is_event:0
0;6;gettingnumber;;code:1 phase:0 value:1 is_event:0
0;7;idle;;code:0 phase:1 value:0 is_event:0
0.01;1;input;out;0
0.01;1;input;;0.01
0.01;2;speech;;code:4 phase:0 value:4 is_event:0
0.01;3;ringingbside;;code:3 phase:0 value:3 is_event:0
0.01;4;waitonhook;;code:5 phase:0 value:5 is_event:0
0.01;5;ringingaside;;code:2 phase:0 value:2 is_event:0
0.01;6;gettingnumber;;code:1 phase:0 value:1 is_event:0
0.01;7;idle;;code:0 phase:1 value:0 is_event:1
0.01;3;ringingbside;;code:3 phase:0 value:3 is_event:0
0.01;6;gettingnumber;;code:1 phase:1 value:1 is_event:0
0.01;7;idle;transition_out;1
0.01;7;idle;;code:0 phase:0 value:0 is_event:1
0.01;6;gettingnumber;state_out;1
0.01;6;gettingnumber;;code:1 phase:1 value:1 is_event:0
0.02;1;input;out;1
0.02;1;input;;0.01
0.02;2;speech;;code:4 phase:0 value:4 is_event:0
0.02;3;ringingbside;;code:3 phase:0 value:3 is_event:0
0.02;4;waitonhook;;code:5 phase:0 value:5 is_event:0
0.02;5;ringingaside;;code:2 phase:0 value:2 is_event:0
0.02;6;gettingnumber;;code:1 phase:1 value:1 is_event:1
0.02;7;idle;;code:0 phase:0 value:0 is_event:1
0.02;4;waitonhook;;code:5 phase:0 value:5 is_event:0
0.02;5;ringingaside;;code:2 phase:1 value:2 is_event:0
0.02;6;gettingnumber;transition_out;2
0.02;6;gettingnumber;;code:1 phase:0 value:1 is_event:1
0.02;7;idle;;code:0 phase:0 value:0 is_event:1
0.02;5;ringingaside;state_out;2
0.02;5;ringingaside;;code:2 phase:1 value:2 is_event:0
0.03;1;input;out;2
0.03;1;input;;0.01
0.03;2;speech;;code:4 phase:0 value:4 is_event:0
0.03;3;ringingbside;;code:3 phase:0 value:3 is_event:0
0.03;4;waitonhook;;code:5 phase:0 value:5 is_event:0
0.03;5;ringingaside;;code:2 phase:1 value:2 is_event:1
0.03;6;gettingnumber;;code:1 phase:0 value:1 is_event:1
0.03;7;idle;;code:0 phase:0 value:0 is_event:1
0.03;2;speech;;code:4 phase:1 value:4 is_event:0
0.03;5;ringingaside;transition_out;4
0.03;5;ringingaside;;code:2 phase:0 value:2 is_event:1
0.03;7;idle;;code:0 phase:0 value:0 is_event:1
0.03;2;speech;state_out;4
0.03;2;speech;;code:4 phase:1 value:4 is_event:0
0.04;1;input;out;3
0.04;1;input;;0.01
0.04;2;speech;;code:4 phase:1 value:4 is_event:1
0.04;3;ringingbside;;code:3 phase:0 value:3 is_event:0
0.04;4;waitonhook;;code:5 phase:0 value:5 is_event:0
0.04;5;ringingaside;;code:2 phase:0 value:2 is_event:1
0.04;6;gettingnumber;;code:1 phase:0 value:1 is_event:1
0.04;7;idle;;code:0 phase:0 value:0 is_event:1
0.04;2;speech;transition_out;5
0.04;2;speech;;code:4 phase:0 value:4 is_event:1
0.04;4;waitonhook;;code:5 phase:1 value:5 is_event:0
0.04;7;idle;;code:0 phase:0 value:0 is_event:1
0.04;4;waitonhook;state_out;5
0.04;4;waitonhook;;code:5 phase:1 value:5 is_event:0
0.05;1;input;out;4
0.05;1;input;;0.01
0.05;2;speech;;code:4 phase:0 value:4 is_event:1
0.05;3;ringingbside;;code:3 phase:0 value:3 is_event:0
0.05;4;waitonhook;;code:5 phase:1 value:5 is_event:1
0.05;5;ringingaside;;code:2 phase:0 value:2 is_event:1
0.05;6;gettingnumber;;code:1 phase:0 value:1 is_event:1
0.05;7;idle;;code:0 phase:0 value:0 is_event:1
0.05;4;waitonhook;transition_out;0
0.05;4;waitonhook;;code:5 phase:0 value:5 is_event:1
0.05;7;idle;;code:0 phase:1 value:0 is_event:0
0.05;7;idle;state_out;0
0.05;7;idle;;code:0 phase:1 value:0 is_event:0
0.06;1;input;out;5
0.06;1;input;;0.005
0.06;2;speech;;code:4 phase:0 value:4 is_event:1
0.06;3;ringingbside;;code:3 phase:0 value:3 is_event:0
0.06;4;waitonhook;;code:5 phase:0 value:5 is_event:1
0.06;5;ringingaside;;code:2 phase:0 value:2 is_event:1
0.06;6;gettingnumber;;code:1 phase:0 value:1 is_event:1
0.06;7;idle;;code:0 phase:1 value:0 is_event:1
0.06;3;ringingbside;;code:3 phase:1 value:3 is_event:0
0.06;6;gettingnumber;;code:1 phase:0 value:1 is_event:1
0.06;7;idle;transition_out;3
0.06;7;idle;;code:0 phase:0 value:0 is_event:1
0.06;3;ringingbside;state_out;3
0.06;3;ringingbside;;code:3 phase:1 value:3 is_event:0
0.065;1;input;out;2
0.065;1;input;;0.005
0.065;2;speech;;code:4 phase:0 value:4 is_event:1
0.065;3;ringingbside;;code:3 phase:1 value:3 is_event:1
0.065;4;waitonhook;;code:5 phase:0 value:5 is_event:1
0.065;5;ringingaside;;code:2 phase:0 value:2 is_event:1
0.065;6;gettingnumber;;code:1 phase:0 value:1 is_event:1
0.065;7;idle;;code:0 phase:0 value:0 is_event:1
0.065;2;speech;;code:4 phase:1 value:4 is_event:0
0.065;3;ringingbside;transition_out;4
0.065;3;ringingbside;;code:3 phase:0 value:3 is_event:1
0.065;7;idle;;code:0 phase:0 value:0 is_event:1
0.065;2;speech;state_out;4
0.065;2;speech;;code:4 phase:1 value:4 is_event:0
0.07;1;input;out;3
0.07;1;input;;0.01
0.07;2;speech;;code:4 phase:1 value:4 is_event:1
0.07;3;ringingbside;;code:3 phase:0 value:3 is_event:1
0.07;4;waitonhook;;code:5 phase:0 value:5 is_event:1
0.07;5;ringingaside;;code:2 phase:0 value:2 is_event:1
0.07;6;gettingnumber;;code:1 phase:0 value:1 is_event:1
0.07;7;idle;;code:0 phase:0 value:0 is_event:1
0.07;2;speech;transition_out;5
0.07;2;speech;;code:4 phase:0 value:4 is_event:1
0.07;4;waitonhook;;code:5 phase:1 value:5 is_event:0
0.07;7;idle;;code:0 phase:0 value:0 is_event:1
0.07;4;waitonhook;state_out;5
0.07;4;waitonhook;;code:5 phase:1 value:5 is_event:0
0.08;1;input;out;4
0.08;1;input;;0.01
0.08;2;speech;;code:4 phase:0 value:4 is_event:1
0.08;3;ringingbside;;code:3 phase:0 value:3 is_event:1
0.08;4;waitonhook;;code:5 phase:1 value:5 is_event:1
0.08;5;ringingaside;;code:2 phase:0 value:2 is_event:1
0.08;6;gettingnumber;;code:1 phase:0 value:1 is_event:1
0.08;7;idle;;code:0 phase:0 value:0 is_event:1
0.08;4;waitonhook;transition_out;0
0.08;4;waitonhook;;code:5 phase:0 value:5 is_event:1
0.08;7;idle;;code:0 phase:1 value:0 is_event:0
0.08;7;idle;state_out;0
0.08;7;idle;;code:0 phase:1 value:0 is_event:0
0.09;1;input;out;0
0.09;1;input;;0.02
0.09;2;speech;;code:4 phase:0 value:4 is_event:1
0.09;3;ringingbside;;code:3 phase:0 value:3 is_event:1
0.09;4;waitonhook;;code:5 phase:0 value:5 is_event:1
0.09;5;ringingaside;;code:2 phase:0 value:2 is_event:1
0.09;6;gettingnumber;;code:1 phase:0 value:1 is_event:1
0.09;7;idle;;code:0 phase:1 value:0 is_event:1
0.09;3;ringingbside;;code:3 phase:0 value:3 is_event:1
0.09;6;gettingnumber;;code:1 phase:1 value:1 is_event:0
0.09;7;idle;transition_out;1
0.09;7;idle;;code:0 phase:0 value:0 is_event:1
0.09;6;gettingnumber;state_out;1
0.09;6;gettingnumber;;code:1 phase:1 value:1 is_event:0
0.11;1;input;out;6
0.11;1;input;;0.01
0.11;2;speech;;code:4 phase:0 value:4 is_event:1
0.11;3;ringingbside;;code:3 phase:0 value:3 is_event:1
0.11;4;waitonhook;;code:5 phase:0 value:5 is_event:1
0.11;5;ringingaside;;code:2 phase:0 value:2 is_event:1
0.11;6;gettingnumber;;code:1 phase:1 value:1 is_event:1
0.11;7;idle;;code:0 phase:0 value:0 is_event:1
0.11;4;waitonhook;;code:5 phase:1 value:5 is_event:0
0.11;5;ringingaside;;code:2 phase:0 value:2 is_event:1
0.11;6;gettingnumber;transition_out;5
0.11;6;gettingnumber;;code:1 phase:0 value:1 is_event:1
0.11;7;idle;;code:0 phase:0 value:0 is_event:1
0.11;4;waitonhook;state_out;5
0.11;4;waitonhook;;code:5 phase:1 value:5 is_event:0
0.12;1;input;out;4
0.12;1;input;;0.01
0.12;2;speech;;code:4 phase:0 value:4 is_event:1
0.12;3;ringingbside;;code:3 phase:0 value:3 is_event:1
0.12;4;waitonhook;;code:5 phase:1 value:5 is_event:1
0.12;5;ringingaside;;code:2 phase:0 value:2 is_event:1
0.12;6;gettingnumber;;code:1 phase:0 value:1 is_event:1
0.12;7;idle;;code:0 phase:0 value:0 is_event:1
0.12;4;waitonhook;transition_out;0
0.12;4;waitonhook;;code:5 phase:0 value:5 is_event:1
0.12;7;idle;;code:0 phase:1 value:0 is_event:0
0.12;7;idle;state_out;0
0.12;7;idle;;code:0 phase:1 value:0 is_event:0
0.13;1;input;out;0
0.13;1;input;;0.01
0.13;2;speech;;code:4 phase:0 value:4 is_event:1
0.13;3;ringingbside;;code:3 phase:0 value:3 is_event:1
0.13;4;waitonhook;;code:5 phase:0 value:5 is_event:1
0.13;5;ringingaside;;code:2 phase:0 value:2 is_event:1
0.13;6;gettingnumber;;code:1 phase:0 value:1 is_event:1
0.13;7;idle;;code:0 phase:1 value:0 is_event:1
0.13;3;ringingbside;;code:3 phase:0 value:3 is_event:1
0.13;6;gettingnumber;;code:1 phase:1 value:1 is_event:0
0.13;7;idle;transition_out;1
0.13;7;idle;;code:0 phase:0 value:0 is_event:1
0.13;6;gettingnumber;state_out;1
0.13;6;gettingnumber;;code:1 phase:1 value:1 is_event:0
0.14;1;input;out;4
0.14;1;input;;inf
0.14;2;speech;;code:4 phase:0 value:4 is_event:1
0.14;3;ringingbside;;code:3 phase:0 value:3 is_event:1
0.14;4;waitonhook;;code:5 phase:0 value:5 is_event:1
0.14;5;ringingaside;;code:2 phase:0 value:2 is_event:1
0.14;6;gettingnumber;;code:1 phase:1 value:1 is_event:1
0.14;7;idle;;code:0 phase:0 value:0 is_event:1
0.14;4;waitonhook;;code:5 phase:0 value:5 is_event:1
0.14;5;ringingaside;;code:2 phase:0 value:2 is_event:1
0.14;6;gettingnumber;transition_out;0
0.14;6;gettingnumber;;code:1 phase:0 value:1 is_event:1
0.14;7;idle;;code:0 phase:1 value:0 is_event:0
0.14;7;idle;state_out;0
0.14;7;idle;;code:0 phase:1 value:0 is_event:0
0.14;1;input;;inf
0.14;2;speech;;code:4 phase:0 value:4 is_event:1
0.14;3;ringingbside;;code:3 phase:0 value:3 is_event:1
0.14;4;waitonhook;;code:5 phase:0 value:5 is_event:1
0.14;5;ringingaside;;code:2 phase:0 value:2 is_event:1
0.14;6;gettingnumber;;code:1 phase:0 value:1 is_event:1
0.14;7;idle;;code:0 phase:1 value:0 is_event:0
