sep=;
time;model_id;model_name;port_name;data
0;1;input;;0.01
0;2;yellow;;code:2 phase:0 value:2 is_event:0
0;3;ped_yellow;;code:3 phase:0 value:3 is_event:0
0;4;green;;code:1 phase:0 value:1 is_event:0
0;5;red;;code:0 phase:1 value:0 is_event:0
0.01;1;input;out;0
0.01;1;input;;0.01
0.01;2;yellow;;code:2 phase:0 value:2 is_event:0
0.01;3;ped_yellow;;code:3 phase:0 value:3 is_event:0
0.01;4;green;;code:1 phase:0 value:1 is_event:0
0.01;5;red;;code:0 phase:1 value:0 is_event:1
0.01;4;green;;code:1 phase:1 value:1 is_event:0
0.01;5;red;transition_out;1
0.01;5;red;;code:0 phase:0 value:0 is_event:1
0.01;4;green;state_out;1
0.01;4;green;;code:1 phase:1 value:1 is_event:0
0.02;1;input;out;2
0.02;1;input;;0.01
0.02;2;yellow;;code:2 phase:0 value:2 is_event:0
0.02;3;ped_yellow;;code:3 phase:0 value:3 is_event:0
0.02;4;green;;code:1 phase:1 value:1 is_event:1
0.02;5;red;;code:0 phase:0 value:0 is_event:1
0.02;2;yellow;;code:2 phase:0 value:2 is_event:0
0.02;3;ped_yellow;;code:3 phase:1 value:3 is_event:0
0.02;4;green;transition_out;3
0.02;4;green;;code:1 phase:0 value:1 is_event:1
0.02;3;ped_yellow;state_out;3
0.02;3;ped_yellow;;code:3 phase:1 value:3 is_event:0
0.03;1;input;out;3
0.03;1;input;;0.01
0.03;2;yellow;;code:2 phase:0 value:2 is_event:0
0.03;3;ped_yellow;;code:3 phase:1 value:3 is_event:1
0.03;4;green;;code:1 phase:0 value:1 is_event:1
0.03;5;red;;code:0 phase:0 value:0 is_event:1
0.03;3;ped_yellow;transition_out;0
0.03;3;ped_yellow;;code:3 phase:0 value:3 is_event:1
0.03;5;red;;code:0 phase:1 value:0 is_event:0
0.03;5;red;state_out;0
0.03;5;red;;code:0 phase:1 value:0 is_event:0
0.04;1;input;out;0
0.04;1;input;;0.01
0.04;2;yellow;;code:2 phase:0 value:2 is_event:0
0.04;3;ped_yellow;;code:3 phase:0 value:3 is_event:1
0.04;4;green;;code:1 phase:0 value:1 is_event:1
0.04;5;red;;code:0 phase:1 value:0 is_event:1
0.04;4;green;;code:1 phase:1 value:1 is_event:0
0.04;5;red;transition_out;1
0.04;5;red;;code:0 phase:0 value:0 is_event:1
0.04;4;green;state_out;1
0.04;4;green;;code:1 phase:1 value:1 is_event:0
0.05;1;input;out;1
0.05;1;input;;0.01
0.05;2;yellow;;code:2 phase:0 value:2 is_event:0
0.05;3;ped_yellow;;code:3 phase:0 value:3 is_event:1
0.05;4;green;;code:1 phase:1 value:1 is_event:1
0.05;5;red;;code:0 phase:0 value:0 is_event:1
0.05;2;yellow;;code:2 phase:1 value:2 is_event:0
0.05;3;ped_yellow;;code:3 phase:0 value:3 is_event:1
0.05;4;green;transition_out;2
0.05;4;green;;code:1 phase:0 value:1 is_event:1
0.05;2;yellow;state_out;2
0.05;2;yellow;;code:2 phase:1 value:2 is_event:0
0.06;1;input;out;3
0.06;1;input;;0.01
0.06;2;yellow;;code:2 phase:1 value:2 is_event:1
0.06;3;ped_yellow;;code:3 phase:0 value:3 is_event:1
0.06;4;green;;code:1 phase:0 value:1 is_event:1
0.06;5;red;;code:0 phase:0 value:0 is_event:1
0.06;2;yellow;transition_out;0
0.06;2;yellow;;code:2 phase:0 value:2 is_event:1
0.06;5;red;;code:0 phase:1 value:0 is_event:0
0.06;5;red;state_out;0
0.06;5;red;;code:0 phase:1 value:0 is_event:0
0.07;1;input;out;0
0.07;1;input;;0.01
0.07;2;yellow;;code:2 phase:0 value:2 is_event:1
0.07;3;ped_yellow;;code:3 phase:0 value:3 is_event:1
0.07;4;green;;code:1 phase:0 value:1 is_event:1
0.07;5;red;;code:0 phase:1 value:0 is_event:1
0.07;4;green;;code:1 phase:1 value:1 is_event:0
0.07;5;red;transition_out;1
0.07;5;red;;code:0 phase:0 value:0 is_event:1
0.07;4;green;state_out;1
0.07;4;green;;code:1 phase:1 value:1 is_event:0
0.08;1;input;out;1
0.08;1;input;;0.01
0.08;2;yellow;;code:2 phase:0 value:2 is_event:1
0.08;3;ped_yellow;;code:3 phase:0 value:3 is_event:1
0.08;4;green;;code:1 phase:1 value:1 is_event:1
0.08;5;red;;code:0 phase:0 value:0 is_event:1
0.08;2;yellow;;code:2 phase:1 value:2 is_event:0
0.08;3;ped_yellow;;code:3 phase:0 value:3 is_event:1
0.08;4;green;transition_out;2
0.08;4;green;;code:1 phase:0 value:1 is_event:1
0.08;2;yellow;state_out;2
0.08;2;yellow;;code:2 phase:1 value:2 is_event:0
0.09;1;input;out;3
0.09;1;input;;inf
0.09;2;yellow;;code:2 phase:1 value:2 is_event:1
0.09;3;ped_yellow;;code:3 phase:0 value:3 is_event:1
0.09;4;green;;code:1 phase:0 value:1 is_event:1
0.09;5;red;;code:0 phase:0 value:0 is_event:1
0.09;2;yellow;transition_out;0
0.09;2;yellow;;code:2 phase:0 value:2 is_event:1
0.09;5;red;;code:0 phase:1 value:0 is_event:0
0.09;5;red;state_out;0
0.09;5;red;;code:0 phase:1 value:0 is_event:0
0.09;1;input;;inf
0.09;2;yellow;;code:2 phase:0 value:2 is_event:1
0.09;3;ped_yellow;;code:3 phase:0 value:3 is_event:1
0.09;4;green;;code:1 phase:0 value:1 is_event:1
0.09;5;red;;code:0 phase:1 value:0 is_event:0
