sep=;
time;model_id;model_name;port_name;data
0;1;input;;0.01
0;2;fifteen;;code:3 phase:0 value:15 is_event:0
0;3;ten;;code:2 phase:0 value:10 is_event:0
0;4;twenty;;code:4 phase:0 value:20 is_event:0
0;5;five;;code:1 phase:0 value:5 is_event:0
0;6;zero;;code:0 phase:1 value:0 is_event:0
0.01;1;input;out;0
0.01;1;input;;0.01
0.01;2;fifteen;;code:3 phase:0 value:15 is_event:0
0.01;3;ten;;code:2 phase:0 value:10 is_event:0
0.01;4;twenty;;code:4 phase:0 value:20 is_event:0
0.01;5;five;;code:1 phase:0 value:5 is_event:0
0.01;6;zero;;code:0 phase:1 value:0 is_event:1
0.01;3;ten;;code:2 phase:0 value:10 is_event:0
0.01;5;five;;code:1 phase:1 value:5 is_event:0
0.01;6;zero;transition_out;1
0.01;6;zero;;code:0 phase:0 value:0 is_event:1
0.01;5;five;state_out;5
0.01;5;five;;code:1 phase:1 value:5 is_event:0
0.02;1;input;out;0
0.02;1;input;;0.01
0.02;2;fifteen;;code:3 phase:0 value:15 is_event:0
0.02;3;ten;;code:2 phase:0 value:10 is_event:0
0.02;4;twenty;;code:4 phase:0 value:20 is_event:0
0.02;5;five;;code:1 phase:1 value:5 is_event:1
0.02;6;zero;;code:0 phase:0 value:0 is_event:1
0.02;2;fifteen;;code:3 phase:0 value:15 is_event:0
0.02;3;ten;;code:2 phase:1 value:10 is_event:0
0.02;5;five;transition_out;2
0.02;5;five;;code:1 phase:0 value:5 is_event:1
0.02;3;ten;state_out;10
0.02;3;ten;;code:2 phase:1 value:10 is_event:0
0.03;1;input;out;0
0.03;1;input;;0.005
0.03;2;fifteen;;code:3 phase:0 value:15 is_event:0
0.03;3;ten;;code:2 phase:1 value:10 is_event:1
0.03;4;twenty;;code:4 phase:0 value:20 is_event:0
0.03;5;five;;code:1 phase:0 value:5 is_event:1
0.03;6;zero;;code:0 phase:0 value:0 is_event:1
0.03;2;fifteen;;code:3 phase:1 value:15 is_event:0
0.03;3;ten;transition_out;3
0.03;3;ten;;code:2 phase:0 value:10 is_event:1
0.03;4;twenty;;code:4 phase:0 value:20 is_event:0
0.03;2;fifteen;state_out;15
0.03;2;fifteen;;code:3 phase:1 value:15 is_event:0
0.035;1;input;out;3
0.035;1;input;;0.005
0.035;2;fifteen;;code:3 phase:1 value:15 is_event:1
0.035;3;ten;;code:2 phase:0 value:10 is_event:1
0.035;4;twenty;;code:4 phase:0 value:20 is_event:0
0.035;5;five;;code:1 phase:0 value:5 is_event:1
0.035;6;zero;;code:0 phase:0 value:0 is_event:1
0.035;2;fifteen;error_out;-999
0.035;2;fifteen;;code:3 phase:1 value:15 is_event:1
0.04;1;input;out;2
0.04;1;input;;0.01
0.04;2;fifteen;;code:3 phase:1 value:15 is_event:1
0.04;3;ten;;code:2 phase:0 value:10 is_event:1
0.04;4;twenty;;code:4 phase:0 value:20 is_event:0
0.04;5;five;;code:1 phase:0 value:5 is_event:1
0.04;6;zero;;code:0 phase:0 value:0 is_event:1
0.04;2;fifteen;transition_out;0
0.04;2;fifteen;;code:3 phase:0 value:15 is_event:1
0.04;4;twenty;;code:4 phase:0 value:20 is_event:0
0.04;6;zero;;code:0 phase:1 value:0 is_event:0
0.04;6;zero;state_out;0
0.04;6;zero;;code:0 phase:1 value:0 is_event:0
0.05;1;input;out;0
0.05;1;input;;0.01
0.05;2;fifteen;;code:3 phase:0 value:15 is_event:1
0.05;3;ten;;code:2 phase:0 value:10 is_event:1
0.05;4;twenty;;code:4 phase:0 value:20 is_event:0
0.05;5;five;;code:1 phase:0 value:5 is_event:1
0.05;6;zero;;code:0 phase:1 value:0 is_event:1
0.05;3;ten;;code:2 phase:0 value:10 is_event:1
0.05;5;five;;code:1 phase:1 value:5 is_event:0
0.05;6;zero;transition_out;1
0.05;6;zero;;code:0 phase:0 value:0 is_event:1
0.05;5;five;state_out;5
0.05;5;five;;code:1 phase:1 value:5 is_event:0
0.06;1;input;out;0
0.06;1;input;;0.01
0.06;2;fifteen;;code:3 phase:0 value:15 is_event:1
0.06;3;ten;;code:2 phase:0 value:10 is_event:1
0.06;4;twenty;;code:4 phase:0 value:20 is_event:0
0.06;5;five;;code:1 phase:1 value:5 is_event:1
0.06;6;zero;;code:0 phase:0 value:0 is_event:1
0.06;2;fifteen;;code:3 phase:0 value:15 is_event:1
0.06;3;ten;;code:2 phase:1 value:10 is_event:0
0.06;5;five;transition_out;2
0.06;5;five;;code:1 phase:0 value:5 is_event:1
0.06;3;ten;state_out;10
0.06;3;ten;;code:2 phase:1 value:10 is_event:0
0.07;1;input;out;1
0.07;1;input;;0.01
0.07;2;fifteen;;code:3 phase:0 value:15 is_event:1
0.07;3;ten;;code:2 phase:1 value:10 is_event:1
0.07;4;twenty;;code:4 phase:0 value:20 is_event:0
0.07;5;five;;code:1 phase:0 value:5 is_event:1
0.07;6;zero;;code:0 phase:0 value:0 is_event:1
0.07;2;fifteen;;code:3 phase:0 value:15 is_event:1
0.07;3;ten;transition_out;4
0.07;3;ten;;code:2 phase:0 value:10 is_event:1
0.07;4;twenty;;code:4 phase:1 value:20 is_event:0
0.07;4;twenty;state_out;20
0.07;4;twenty;;code:4 phase:1 value:20 is_event:0
0.08;1;input;out;3
0.08;1;input;;0.01
0.08;2;fifteen;;code:3 phase:0 value:15 is_event:1
0.08;3;ten;;code:2 phase:0 value:10 is_event:1
0.08;4;twenty;;code:4 phase:1 value:20 is_event:1
0.08;5;five;;code:1 phase:0 value:5 is_event:1
0.08;6;zero;;code:0 phase:0 value:0 is_event:1
0.08;4;twenty;transition_out;0
0.08;4;twenty;;code:4 phase:0 value:20 is_event:1
0.08;6;zero;;code:0 phase:1 value:0 is_event:0
0.08;6;zero;state_out;0
0.08;6;zero;;code:0 phase:1 value:0 is_event:0
0.09;1;input;out;1
0.09;1;input;;0.02
0.09;2;fifteen;;code:3 phase:0 value:15 is_event:1
0.09;3;ten;;code:2 phase:0 value:10 is_event:1
0.09;4;twenty;;code:4 phase:0 value:20 is_event:1
0.09;5;five;;code:1 phase:0 value:5 is_event:1
0.09;6;zero;;code:0 phase:1 value:0 is_event:1
0.09;3;ten;;code:2 phase:1 value:10 is_event:0
0.09;5;five;;code:1 phase:0 value:5 is_event:1
0.09;6;zero;transition_out;2
0.09;6;zero;;code:0 phase:0 value:0 is_event:1
0.09;3;ten;state_out;10
0.09;3;ten;;code:2 phase:1 value:10 is_event:0
0.11;1;input;out;1
0.11;1;input;;0.02
0.11;2;fifteen;;code:3 phase:0 value:15 is_event:1
0.11;3;ten;;code:2 phase:1 value:10 is_event:1
0.11;4;twenty;;code:4 phase:0 value:20 is_event:1
0.11;5;five;;code:1 phase:0 value:5 is_event:1
0.11;6;zero;;code:0 phase:0 value:0 is_event:1
